text,author,tags
"If you cannot hold me in your arms, then hold my memory in high regard.And if I cannot be in your life, then at least let me live in your heart.",Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'distance', 'distance-relationship', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'from-a-distance', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'memories', 'memories-quotes', 'memory', 'memory-quote', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'reminders', 'reminisce', 'reminiscence', 'reminiscing', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'the-past', 'unrequited', 'unrequited-love', 'without-you']"
"Your time may come. Do not be too sad, Sam. You cannot be always torn in two. You will have to be one and whole, for many years. You have so much to enjoy and to be, and to do.",The Return of the King,"['farewell', 'goodbyes', 'life', 'parting', 'sad']"
"When she opened her eyes, she was both in her body and watching it, nowhere near the cavity of the tree. The Blue that was before her stood inches from a boy in an Aglionby sweater. There was a slight stoop to his posture, and his shoulders were spattered darkly with rain. It was his fingers that Blue felt on her face. He touched her cheek with the backs of his fingers. Tears coursed down the other Blue's face. Though some strange magic, Blue could feel them on her face as well. She could feel, too, sick, rising misery she'd felt in the churchyard, the grief that felt bigger than her. The other Blue's tears seemed endless. One drop slid after another, each following an identical path down her cheeks.The boy in the Aglionby sweater leaned his forehead against Blue's. She felt the pressure of his skin against hers, and suddenly she could smell mint. It'll be okay. Gansey told the other Blue. She could tell that he was afraid. It'll be okay.Impossibly, Blue realized that this other Blue was crying because she loved Gansey. And that the reason Gansey touched her like that, his fingers so careful with her, was because he knew that her kiss could kill him. She could feel how badly the other Blue wanted to kiss him, even as she dreaded it. Though she couldn't understand why, her real, present day memories in the tree cavity were clouded with other false memories of their lips nearly touching, a life this other Blue had already lived.Okay, I'm ready- Gansey's voice caught, just a little. Blue, kiss me.",The Raven Boys,"['kiss', 'love', 'sad']"
"I'm living under water. Everything seems slow and far away. I know there's a world up there, a sunlit quick world where time runs like dry sand through an hourglass, but down here, where I am, air and sound and time and feeling are thick and dense.",The Time Traveler's Wife,['sad']
If you’re searching for a quote that puts your feelings into words – you won’t find it.You can learn every language and read every word ever written – but you’ll never find what’s in your heart.How can you?He has it.,Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'finding-strength', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'letting-go', 'letting-go-quotes', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'memories', 'memories-quotes', 'memory', 'memory-quote', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'reminders', 'reminisce', 'reminiscence', 'reminiscing', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'searching', 'searching-for-answers', 'searching-for-truth', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'the-past', 'unrequited', 'unrequited-love', 'without-you']"
"When you experience loss, people say you’ll move through the 5 stages of grief….Denial, Anger, Bargaining, Depression, Acceptance….. What they don’t tell you is that you’ll cycle through them all every day.",Ranata Suzuki,"['adversity', 'adversity-quotes', 'beautiful', 'beautiful-quote', 'brave', 'brave-heart', 'brave-quotes', 'bravery', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'finding-strength', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'letting-go', 'letting-go-quotes', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'stages-of-grief', 'the-one-that-got-away', 'unrequited', 'unrequited-love', 'without-you']"
"I think perhaps I will always hold a candle for you – even until it burns my hand.And when the light has long since gone …. I will be there in the darkness holding what remains, quite simply because I cannot let go.",Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'holding-a-candle', 'i-miss-you', 'letting-go', 'letting-go-quotes', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'unrequited', 'unrequited-love', 'without-you']"
We often confuse what we wish for with what is.,MirrorMask,"['confusion', 'sad', 'wishes']"
"I leave, and the leaving is so exhilarating I know I can never go back. But then what? Do I just keep leaving places, and leaving them, and leaving them, tramping a perpetual journey?",Paper Towns,"['john-green', 'leaving', 'paper-towns', 'sad']"
"I'll tell you something, Harpy,"" he said, his voice almost a whisper now. ""It never even occurred to me that we wouldn't make it. And it never occurred to you that we would. You were just waiting for us to go down in flames. I thought we could get through anything.",My One and Only,"['breakup', 'divorce', 'heartbreak', 'love', 'romance', 'sad']"
"It was a hurting tune, resigned, a cry of heartache for all in the world that fell apart. As ash rose black against the brilliant sky, Fire's fiddle cried out for the dead, and for the living who stay behind to say goodbye.",Fire,"['death', 'ending', 'sad', 'violin']"
"Where is my chance to be somebody's Peter Van Houten?' He hit the steering wheel weakly, the car honking as he cried. He leaned his head back, looking up. 'I hate myself I hate myself I hate this I hate this I disgust myself I hate it I hate it I hate it just let me fucking die.",The Fault in Our Stars,"['augustus-waters', 'depressing', 'peter-van-houten', 'sad', 'the-fault-in-our-stars']"
"Is that all?"" she whispered.Gansey closed his eyes. ""That's all there is.",The Raven Boys,['sad']
"It’s painful, loving someone from afar.Watching them – from the outside.The once familiar elements of their life reduced to nothing more than occasional mentions in conversations and faces changing in photographs…..They exist to you now as nothing more than living proof that something can still hurt you … with no contact at all.",Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quotes', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'distance', 'distance-relationship', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'from-a-distance', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'unrequited', 'unrequited-love', 'without-you']"
The most difficult aspect of moving on is accepting that the other person already did.,Faraaz Kazi,"['heartbreak', 'letting-go', 'love', 'moving-on', 'romance', 'sad', 'tragic']"
"But I was youngand didn’t know betterand someone should have told me to capture every secondevery kiss & every nightBecause now I’m sitting here alone and it’s getting really hard to breath because tears are growing in my throat and they want to break out, but there are peoplewatchingand I just want to be somewhere silentsomewhere stillBut still I don’t want to be alone because I’m scared and lonelyand I don’t understandBecause I was alone my whole lifeMy whole lifeI was so damn lonely and I was content with thatbecause I liked myself and my own company and I didn’t need anyoneI thoughtBut then there was you .. ...So, someone should have told me that love is for those few brave who can handle the unbearable emptiness,the unbearable guilt and lack of oneself,Because I lost myself to someone I loveand I might get myself back one daybut it will take time, it will take time.This is gonna take some time.I wish someone would have told me this.Someone should have told me this.",Empty Roads & Broken Bottles: in search for The Great Perhaps,"['alone', 'charlotte-eriksson', 'empty-roads-broken-bottles', 'heartbreak', 'in-search-for-the-great-perhaps', 'kiss', 'love', 'love-story', 'moving-on', 'poetry', 'prose', 'sad', 'the-glass-child', 'the-great-perhaps', 'time', 'young-love', 'youth']"
"I pulled myself from his mind, day by day, piece by piece, memory by memory, until there was nothing of Ruby left to weigh him down or keep him bound to my side..",The Darkest Minds,['sad']
"But a part of me lies buried in lace and roses on a riverbank in France-a part of me is broken off forever. A part of me will be unflyable, stuck in the climb.",Code Name Verity,"['heartbreaking', 'juilie', 'maddie', 'maddie-brodatt', 'sad']"
"Then I thought, boy, isn't that just typical? You wait and wait and wait for something, and then when it happens, you feel sad.",Absolutely Normal Chaos,"['sad', 'waiting']"
"She knew I could tell with one glance, one look, one simple instant. It was her eyes. Despite the thick makeup, they were still dark-rimmed., haunted, and sad. Most of all though, they were familiar. The fact that we were in front of hundreds of strangers changed nothing at all. I'd spent a summer with those same eyes-scared, lost, confused-staring back at me. I would have known them anywhere.",Just Listen,"['lost', 'pain', 'rape', 'sad', 'sadness', 'sexual-assault']"
I had someone once who made every day mean something.And now…. I am lost….And nothing means anything anymore.,Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'meaningless', 'meaninglessness', 'meaninglessness-of-life', 'memories', 'memories-quotes', 'memory', 'memory-quote', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'reminders', 'reminisce', 'reminiscence', 'reminiscing', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'the-past', 'unrequited', 'unrequited-love', 'without-you']"
"I wanted to cry but I didn't, I probably should have cried, I should have drowned us there in the room ending our suffering.",Extremely Loud & Incredibly Close,['sad']
"I take no joy in mead nor meat, and song and laughter have become suspicious strangers to me. I am a creature of grief and dust and bitter longings. There is an empty place within me where my heart was once.",A Game of Thrones,"['catelyn-stark', 'love', 'sad']"
I miss that feeling of connection.Knowing he was out there somewhere thinking about me at the same time I was thinking about him.,Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'connectedness', 'connection', 'connection-with-people', 'connections', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'memories', 'memories-quotes', 'memory', 'memory-quote', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'reminders', 'reminisce', 'reminiscence', 'reminiscing', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'the-one-that-got-away', 'the-past', 'unrequited', 'unrequited-love', 'without-you']"
"The Young Man came to the Old Man seeking counsel.I broke something, Old Man.How badly is it broken?It's in a million little pieces.I'm afraid I can't help you.Why?There's nothing you can do.Why?It can't be fixed.Why?It's broken beyond repair. It's in a million little pieces.",A Million Little Pieces,"['broken', 'life', 'million', 'pieces', 'sad']"
The.World.Is.Not.A.Safe.Place.,The Sky Is Everywhere,"['poem', 'sad']"
"Take a shower. Wash away every trace of yesterday. Of smells. Of weary skin. Get dressed. Make coffee, windows open, the sun shining through. Hold the cup with two hands and notice that you feel the feeling of warmth.   You still feel warmth. Now sit down and get to work. Keep your mind sharp, head on, eyes on the page and if small thoughts of worries fight their ways into your consciousness: threw them off like fires in the night and keep your eyes on the track. Nothing but the task in front of you. Get off your chair in the middle of the day. Put on your shoes and take a long walk on open streets around people. Notice how they’re all walking, in a hurry, or slowly. Smiling, laughing, or eyes straight forward, hurried to get to wherever they’re going. And notice how you’re just one of them. Not more, not less. Find comfort in the way you’re just one in the crowd. Your worries: no more, no less.Go back home. Take the long way just to not pass the liquor store. Don’t buy the cigarettes. Go straight home. Take off your shoes. Wash your hands. Your face. Notice the silence. Notice your heart. It’s still beating. Still fighting. Now get back to work. Work with your mind sharp and eyes focused and if any thoughts of worries or hate or sadness creep their ways around, shake them off like a runner in the night for you own your mind, and you need to tame it. Focus. Keep it sharp on track, nothing but the task in front of you.Work until your eyes are tired and head is heavy, and keep working even after that. Then take a shower, wash off the day. Drink a glass of water. Make the room dark. Lie down and close your eyes. Notice the silence. Notice your heart. Still beating. Still fighting. You made it, after all. You made it, another day. And you can make it one more.  You’re doing just fine. You’re doing fine.I’m doing just fine.",You're Doing Just Fine,"['advice', 'alcohol', 'anxiety', 'belief', 'coffee', 'crowd', 'dark', 'darkness', 'depression', 'doing-fine', 'emotional', 'experience', 'fighting', 'going-on', 'growing', 'heart', 'heartache', 'home', 'hope', 'letting-go', 'life-advice', 'living', 'love', 'moving-on', 'night', 'open-streets', 'poem', 'poet', 'poetry', 'progress', 'prose', 'recovery', 'sad', 'sadness', 'spring', 'sun', 'tired', 'windows', 'worries', 'worrying', 'writer', 'youth']"
"If you didn't remember something happening, was it because it never had happened? Or because you wished it hadn't?",Plain Truth,"['hopeful', 'jodi-picoult', 'loss', 'love', 'memory', 'plain-truth', 'remember', 'sad', 'wish']"
"They had battled and bloodied one another, they had kept secrets, broken hearts, lied, betrayed, exiled, they had walked away, said goodbye and sworn it was forever, and somehow, every time, they had mended, they had forgiven, they had survived. Some mistakes could never be fixed - some, but not all. Some people can't be driven away, no matter how hard you try. Some friendships won't break.",Greed,"['best-friends', 'end-of-series', 'friendship', 'greed', 'robin-wasserman', 'sad', 'seven-deadly-sins']"
They'll say you are bador perhaps you are mador at least you should stay undercover.Your mind must be bareif you would dareto think you can love more than one lover.,David Rovics,"['agape', 'believe', 'betrayal', 'break-up', 'broken', 'cheat', 'cheater', 'cheating', 'closet', 'commitment', 'communication', 'consent', 'control', 'cry', 'depressed', 'desire', 'dirty', 'divorce', 'divorced', 'dream', 'empowering', 'end', 'ended', 'eros', 'family', 'fear', 'feelings', 'feminism', 'forever', 'freedom', 'friends', 'friendship', 'gone', 'happiness', 'heartbreak', 'heartbroken', 'hearts', 'honesty', 'horny', 'human', 'humanity', 'hurt', 'infidelity', 'jealousy', 'jerk', 'keep', 'keeper', 'keepers', 'live', 'lost', 'lovers', 'monogamy', 'nasty', 'need', 'nonmonogamy', 'pain', 'partners', 'peace', 'plural', 'polyamory', 'polyandry', 'polycule', 'polygamy', 'polygyny', 'possessive', 'quad', 'queer', 'real', 'relationship', 'respect', 'romantic', 'sad', 'share', 'sharing', 'slut', 'sluts', 'sorrow', 'spice', 'spouse', 'stay', 'suffering', 'sweet', 'sweethearts', 'swinging', 'team', 'threesome', 'time', 'triad', 'trouble', 'truth', 'undercover', 'unfaithful', 'unicorn', 'unity', 'valentine', 'valentines', 'value', 'wisdom', 'wishes', 'yolo']"
إذا خفيت عنا الحكمة في العذاب أحيانا.. فلأننا لا ندرك كل شيء ولا نعرف كل شيء، ولا ندرك من القصة إلا تلك المرحلة المحدودة بين قوسين اسمها الدنيا.. أما ما قبل ذلك ومابعد ذلك فهو بالنسبة لنا غيب محجوب.. ولذا يجب أن نصمت في احترام ولانطلق الأحكام..,رحلتي من الشك إلى الإيمان,"['life', 'religion', 'sad', 'torture']"
